Customer Name,Pricelist,FD/FILLIN,ARYO PCR,ARYO ST - GS,ARYO-TBR,ARYO - OTHER,ARS PCR,ARS ST - GS,ARS-TBR,SAFFIRO ST - COFO,ARS ST - COFO,TBR - OTHER,ST - OTHER,LCR,MB,LOC_CODE,SEND_TO,CC_S,BCC_S,NAME,HIDE_PRICING,CAPPED
ACETIREMIAMI,ACETIREMIAMI,FILL IN,N,N,N,N,N,Y,N,Y,Y,Y,Y,Y,N,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
ACTIONTIRE,ACTIONTIRE,FILL IN,N,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Ricky,N,Y
ALEXSTIREINC,ALEXSTIREINC,FILL IN,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Alex & Nra,N,Y
ALFATIRES,ALFATIRES,FILL IN,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
ALLAMERICANFLEET,ALLAMERICANFLEET,FILL IN,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
ALMATIRES,ALMATIRES,FILL IN,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
ALPHATIRES,ALPHATIRES,FILL IN,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
ARMENMWF_FASHIONWHEELSWHOLESALE,ARMENMWF_FASHIONWHEELSWHOLESALE,FILL IN,N,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
ARMENMWF_H_AND_SWHEELDISTRIBUTORS,ARMENMWF_H_AND_SWHEELDISTRIBUTORS,FILL IN,N,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
ARMENMWF_JEETIRES,ARMENMWF_JEETIRES,FILL IN,N,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
ARMENMWF_USAWHEELANDTIRE,ARMENMWF_USAWHEELANDTIRE,FILL IN,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Nadeem,N,Y
ARROWSHOP,ARROWSHOP,FILL IN,N,N,Y,N,N,N,N,N,N,Y,N,N,N,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Fabian / Jesus,N,Y
B_TIRESDIRECT,B_TIRESDIRECT,FD,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
BAUERBUILT,BAUERBUILT,FILL IN,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
BEACONTIRE,BEACONTIRE,FILL IN,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
BESTONE,BESTONE,FILL IN,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
BestValueTire,BestValueTire,FILL IN,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
BIGRIGTIRES,BIGRIGTIRES,FILL IN,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Ramanpreet,N,Y
BILLWILLIAMSTIRE,BILLWILLIAMSTIRE,FILL IN,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
BLACKSTIRESERVICE,BLACKSTIRESERVICE,FILL IN,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
BORDERTIRE,BORDERTIRE,FILL IN,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Dalia / Nelson,N,Y
BORDERTIREPHX,BORDERTIREPHX,FILL IN,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Gina / Dalia / Nelson,N,Y
BRANNONTIRE,BRANNONTIRE,FILL IN,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Randy,N,Y
BROADWAYTIREWHOLESALE,BROADWAYTIREWHOLESALE,FILL IN,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Jim,N,Y
CATIREWHOLESALE,CATIREWHOLESALE,FILL IN,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
CLARKTIREWHOLESALE,CLARKTIREWHOLESALE,FILL IN,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
COMMERCIALTIREFRESNOCA,COMMERCIALTIREFRESNOCA,FILL IN,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
COMMERCIALTIREIDAHO,COMMERCIALTIREIDAHO,FILL IN,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
COMPASSTIRE,COMPASSTIRE,FILL IN,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
COMPETITIONWHEELS,COMPETITIONWHEELS,FILL IN,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
CONNECTICUTTIRE,CONNECTICUTTIRE,FILL IN,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
D_LATIRE,D_LATIRE,FILL IN,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Marcos,N,Y
DAKOTAWHOLESALE,DAKOTAWHOLESALE,FILL IN,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
DAYTONTIRE,DAYTONTIRE,FILL IN,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
DEALERSTIRESUPPLY,DEALERSTIRESUPPLY,FILL IN,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Todd,N,Y
DELTATIRE,DELTATIRE,FILL IN,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
DELTAWHOLESALE,DELTAWHOLESALE,FILL IN,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
DEPINOSTIRESERVICEINC,DEPINOSTIRESERVICEINC,FILL IN,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
DIGITIRE,DIGITIRE,FILL IN,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
E_LOONEYS,E_LOONEYS,FILL IN,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
EASTCOASTINTLTIRE,EASTCOASTINTLTIRE,FILL IN,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Junbo,N,Y
EASTCOASTNC,EASTCOASTNC,FILL IN,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
ECONOMYTIRE,ECONOMYTIRE,FILL IN,N,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,"Nah, Amar & Omar",N,Y
ELCAMINTIRE,ELCAMINOTIRE,FILL IN,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
ELITETIREWHEEL,ELITETIREWHEEL,FD,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
EPEORIA,EPEORIA,FILL IN,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
ETCZ1,ETCZ1,FILL IN,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,N
ETCZ2,ETCZ2,FILL IN,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
ETCZ3,ETCZ3,FILL IN,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,N
ETCZ4,ETCZ4,FILL IN,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
ETCZ5,ETCZ5,FILL IN,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,N
ETCZ6,ETCZ6,FILL IN,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
EVERGREENTIREANDWHEEL,EVERGREENTIREANDWHEEL,FILL IN,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Mihai,N,Y
EXXPRESSTIRE,EXXPRESSTIRE,FILL IN,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
F_FIRSTCHANCE,F_FIRSTCHANCE,FILL IN,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Robert,N,Y
FIVE26,FIVE26,FILL IN,N,N,Y,N,N,N,N,N,N,Y,N,N,N,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
FLYNNSTIRE,FLYNNSTIRE,FILL IN,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
FREMONTTIRES,FREMONTTIRES,FILL IN,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
FUTURETIRE,FUTURETIRE,FILL IN,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
G_TOWNFAIR,G_TOWNFAIR,FD,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,"Anthony, Frank & Jack",N,Y
GDYFL,GDYFL,FILL IN,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
GEMCITY,GEMCITY,FILL IN,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
GonzalesTire,GonzalesTire,FILL IN,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Jose,N,Y
GRAHMANTIRE,GRAHMANTIRE,FILL IN,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Scott,N,Y
GRISMERTIRE,GRISMERTIRE,FILL IN,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
GTWTAMPA,GTWTAMPA,FILL IN,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,YaN,N,Y
GULFTIREDIST,GULFTIREDIST,FILL IN,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
H_ADVANCE,H_ADVANCE,FILL IN,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLKFCAWMT,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Cliff & Armando,N,Y
