Customer Name,Pricelist,FD/FILLIN,ARYO PCR,ARYO ST - GS,ARYO-TBR,ARYO - OTHER,ARS PCR,ARS ST - GS,ARS-TBR,SAFFIRO ST - COFO,ARS ST - COFO,TBR - OTHER,ST - OTHER,LCR,MB,LOC_CODE,SEND_TO,CC_S,BCC_S,NAME,HIDE_PRICING,CAPPED
MAVISTIRESUPPLY,MAVISTIRESUPPLY,FD,Y,Y,N,Y,Y,Y,N,N,N,Y,Y,Y,Y,VLK,jgerbino@mavistire.com;lcarreon@mavistire.com;csheshene@mavis.com,tony@wtdus.com;jhernandez@wtdus.com;Louise@wtdus.com;fillinorders@wtdus.com;Cbudiongan@wtdus.com;gfurio@wtdus.com,vjdelrosario@avatco.com;fmarcial@avatco.com,,N,N
G_TOWNFAIR,G_TOWNFAIR,FD,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,VLK,ACorso@TOWNFAIR.com;fmalin@townfair.com;jlarese@townfair.com,tony@wtdus.com;jhernandez@wtdus.com;Louise@wtdus.com;fillinorders@wtdus.com;Cbudiongan@wtdus.com;gfurio@wtdus.com,vjdelrosario@avatco.com;fmarcial@avatco.com,Anthony; Frank & Jack,N,Y
ACETIREMIAMI,ACETIREMIAMI,FILL IN,N,N,N,N,N,Y,N,Y,Y,Y,Y,Y,N,VLK,,wtd@wtdus.com;zak@wtdus.com;martin.davis@wtdus.com;jhernandez@wtdus.com;Louise@wtdus.com;fillinorders@wtdus.com;CBudiongan@wtdus.com,vjdelrosario@avatco.com;fmarcial@avatco.com,,N,Y
ARMENMWF_FASHIONWHEELSWHOLESALE,ARMENMWF_FASHIONWHEELSWHOLESALE,FILL IN,N,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,VLK,fashionwheels281@gmail.com;fashionwheelstx@gmail.com,Louise@wtdus.com;sly@lockoffroadwheels.com;fillinorders@wtdus.com;CBudiongan@wtdus.com,vjdelrosario@avatco.com;fmarcial@avatco.com,,N,Y
ARMENMWF_H_AND_SWHEELDISTRIBUTORS,ARMENMWF_H_AND_SWHEELDISTRIBUTORS,FILL IN,N,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,VLK,gcorona.wholesale.rep@gmail.com;H.swheeldist@gmail.com,Louise@wtdus.com;fillinorders@wtdus.com;CBudiongan@wtdus.com,vjdelrosario@avatco.com;fmarcial@avatco.com,,N,Y
ARMENMWF_USAWHEELANDTIRE,ARMENMWF_USAWHEELANDTIRE,FILL IN,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLK,nadeemaslam11@hotmail.com;harrisnadeem2000@gmail.com,Louise@wtdus.com;CBudiongan@wtdus.com;fillinorders@wtdus.com,vjdelrosario@avatco.com;fmarcial@avatco.com,Nadeem,N,Y
ARMENMWF_JEETIRES,ARMENMWF_JEETIRES,FILL IN,N,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,VLK,dev@jeetires.com,Louise@wtdus.com;CBudiongan@wtdus.com;fillinorders@wtdus.com,vjdelrosario@avatco.com;fmarcial@avatco.com,,N,Y
ECONOMYTIRE,ECONOMYTIRE,FILL IN,N,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,VLK,noah@economytire.com;amar@economytire.com;omar@economytire.com,Fillinorders@wtdus.com;Louise@wtdus.com;cbudiongan@wtdus.com,vjdelrosario@avatco.com;fmarcial@avatco.com,Noah; Amar & Omar,N,Y
MOMENTUMTIREEXPRESS,MOMENTUMTIREEXPRESS,FILL IN,N,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,VLK,zsilver@momentumtireandwheel.com;icampbell@momentumtireandwheel.com,Louise@wtdus.com;fillinorders@wtdus.com;Cbudiongan@wtdus.com,vjdelrosario@avatco.com;fmarcial@avatco.com,,N,Y
N_WHLMARTCA,N_WHLMARTCA,FILL IN,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,V,,,vjdelrosario@avatco.com;fmarcial@avatco.com,,N,Y
TIREWHEELMASTER,TIREWHEELMASTER,FILL IN,N,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,V,ted@wtdus.com,wtd@wtdus.com;camille@wtdus.com;Louise@wtdus.com;fillinorders@wtdus.com,vjdelrosario@avatco.com;fmarcial@avatco.com,,N,Y
WAUKEGANTIRE,WAUKEGANTIRE,FILL IN,N,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,VLK,,wtd@wtdus.com;Louise@wtdus.com;jhernandez@wtdus.com;fillinorders@wtdus.com;CBudiongan@wtdus.com,vjdelrosario@avatco.com;fmarcial@avatco.com,,N,Y
ALFATIRES,ALFATIRES,FILL IN,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLK,,wtd@wtdus.com;zak@wtdus.com;martin.davis@wtdus.com;jhernandez@wtdus.com;Louise@wtdus.com;fillinorders@wtdus.com;CBudiongan@wtdus.com,vjdelrosario@avatco.com;fmarcial@avatco.com,,N,Y
ALPHATIRES,ALPHATIRES,FILL IN,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLK,,wtd@wtdus.com;zak@wtdus.com;martin.davis@wtdus.com;jhernandez@wtdus.com;Louise@wtdus.com;fillinorders@wtdus.com;CBudiongan@wtdus.com,vjdelrosario@avatco.com;fmarcial@avatco.com,,N,Y
