Customer Name,Pricelist,FD/FILLIN,ARROYO,ARS,LCR,TBR,MB,ARS-TBR,ARYO-TBR,ARYO-ST,ST,LOC_CODE,SEND_TO,CC_S,BCC_S,NAME,HIDE_PRICING,CAPPED
MAVISTIRESUPPLY,MAVISTIRESUPPLY,FD,Y,Y,Y,Y,Y,N,N,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,N
G_TOWNFAIR,G_TOWNFAIR,FD,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,"Anthony, Frank & Jack",N,Y
ACETIREMIAMI,ACETIREMIAMI,FILL IN,N,N,Y,Y,N,N,N,N,Y,VLKW,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
ARMENMWF_FASHIONWHEELSWHOLESALE,ARMENMWF_FASHIONWHEELSWHOLESALE,FILL IN,N,N,Y,Y,Y,N,N,N,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
ARMENMWF_H_AND_SWHEELDISTRIBUTORS,ARMENMWF_H_AND_SWHEELDISTRIBUTORS,FILL IN,N,N,Y,Y,Y,N,N,N,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
ARMENMWF_USAWHEELANDTIRE,ARMENMWF_USAWHEELANDTIRE,FILL IN,N,Y,Y,Y,Y,Y,N,N,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Nadeem,N,Y
ARMENMWF_JEETIRES,ARMENMWF_JEETIRES,FILL IN,N,N,Y,Y,Y,N,N,N,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
ECONOMYTIRE,ECONOMYTIRE,FILL IN,N,N,Y,Y,Y,N,N,N,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,"Noah, Amar & Omar",N,Y
MOMENTUMTIREEXPRESS,MOMENTUMTIREEXPRESS,FILL IN,N,N,Y,Y,Y,N,N,N,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
N_WHLMARTCA,N_WHLMARTCA,FILL IN,N,Y,Y,Y,Y,Y,N,N,Y,VL,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
TIREWHEELMASTER,TIREWHEELMASTER,FILL IN,N,N,Y,Y,Y,N,N,N,Y,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
WAUKEGANTIRE,WAUKEGANTIRE,FILL IN,N,N,Y,Y,Y,N,N,N,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
ALFATIRES,ALFATIRES,FILL IN,N,N,Y,Y,Y,N,N,N,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
ALPHATIRES,ALPHATIRES,FILL IN,N,Y,Y,Y,Y,Y,N,N,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
KILGORETIRECOMPANY,KILGORETIRECOMPANY,FILL IN,N,N,N,Y,N,N,Y,Y,N,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
LONGHORNTRUCKTIRES,LONGHORNTRUCKTIRES,FILL IN,N,N,N,Y,N,N,Y,Y,N,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,JT,N,Y
MYPRIMOTIRESHOP,MYPRIMOTIRESHOP,FILL IN,N,N,N,Y,N,N,Y,Y,N,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
STANDARDTIREWHOLESALE,STANDARDTIREWHOLESALE,FILL IN,N,N,N,Y,N,N,Y,Y,N,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
TSI,TSI,FILL IN,N,N,N,Y,N,N,Y,Y,N,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
RPMTIRE,RPMTIRE,FILL IN,N,N,N,Y,N,N,Y,Y,N,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
FIVE26,FIVE26,FILL IN,N,Y,N,Y,N,Y,Y,N,N,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
ARROWSHOP,ARROWSHOP,FILL IN,Y,N,N,Y,N,N,Y,Y,N,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Fabian / Jesus,N,Y
BILLWILLIAMSTIRE,BILLWILLIAMSTIRE,FILL IN,N,N,N,Y,N,N,Y,Y,N,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
TEXTIRES,TEXTIRES,FILL IN,N,N,N,Y,N,N,Y,Y,N,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
PACIFICTIREGROUP,PACIFICTIREGROUP,FILL IN,Y,Y,Y,Y,Y,Y,Y,Y,Y,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
BIGRIGTIRES,BIGRIGTIRES,FILL IN,N,N,N,Y,N,N,Y,Y,N,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Ramanpreet,N,Y
COMPASSTIRE,COMPASSTIRE,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
COMMERCIALTIREFRESNOCA,COMMERCIALTIREFRESNOCA,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
COMMERCIALTIREIDAHO,COMMERCIALTIREIDAHO,FILL IN,N,Y,N,Y,N,Y,N,N,N,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
GULFTIREDIST,GULFTIREDIST,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
KVLTIRE,KVLTIRE,FILL IN,N,N,N,Y,N,N,Y,Y,N,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
LESCHWABTIRES,LESCHWABTIRES,FILL IN,Y,N,N,Y,N,N,Y,Y,N,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
PARKHOUSE,PARKHOUSE,FILL IN,Y,N,N,Y,N,N,Y,Y,N,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
PETESRS,PETESRS,FILL IN,N,N,N,Y,N,N,Y,Y,N,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
POMPSTIRE,POMPSTIRE,FILL IN,Y,N,Y,Y,N,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
RUDOLPHTIRE,RUDOLPHTIRE,FD,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
SAPPBROS,SAPPBROS,FILL IN,N,N,N,Y,N,N,Y,Y,N,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
TIREDISCOUNTERS,TIREDISCOUNTERS,FILL IN,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
TIREANDWHEELCONNECTION,TIREANDWHEELCONNECTION,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
WALDORFTIRE,WALDORFTIRE,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
WHOLESALEWHEELANDTIRE,WHOLESALEWHEELANDTIRE,FD,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
WHOLESALETIREANDWHEELDISTRIBUTORS,WHOLESALETIREANDWHEELDISTRIBUTORS,FILL IN,Y,Y,Y,Y,Y,Y,Y,Y,Y,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
HANCOCORP,HANCOCORP,FILL IN,N,N,N,N,N,N,N,N,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
ZURCHERTIRE,ZURCHERTIRE,FILL IN,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
HEARTLANDTIRE,HEARTLANDTIRE,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
GRAHMANTIRE,GRAHMANTIRE,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Scott,N,Y
